SteamID,Deaths,Kills,Headshots,Assists,Shots,Defuses,Plants,Ticks Alive,Ticks on Server,Ticks playing
76561198058871514,14,14,7,2,445,0,0,48239,63628,63477
76561198069820117,40,56,8,12,1398,7,0,139256,220039,213082
76561198064508818,478,283,188,105,8729,0,2,705907,1074304,1072805
76561198127715621,187,154,70,35,3710,9,4,361128,556260,535010
76561198076511980,75,78,26,24,2211,10,0,245205,340446,339653
76561197969173419,173,139,64,49,3145,6,1,347151,612004,508973
76561198080664669,211,185,73,51,4177,14,1,457582,668586,666117
76561198071603055,321,273,156,62,5902,9,2,569225,901481,900041
76561198141824576,72,74,33,11,1401,3,0,163568,250027,249576
76561198152727419,68,41,44,6,955,6,1,112000,171026,151617
76561198043846650,10,22,4,2,141,0,1,38542,63829,63769
76561198020032770,166,128,74,46,4085,12,1,358146,599105,513158
76561198008738871,342,195,158,60,5121,16,3,560924,773712,772760
76561197983033667,315,269,128,76,7163,4,2,628775,1072882,983215
76561198123165941,230,274,106,61,6361,9,5,688435,970491,966837
76561198045730107,76,124,23,36,1865,0,0,251528,402110,399950
76561198125419835,258,224,78,46,5398,5,3,701019,965085,905050
76561198123159921,19,18,11,3,495,0,0,34541,66808,57802
76561198098447167,122,125,26,18,3010,11,3,364316,494810,477249
76561197999945636,54,90,16,20,1829,4,0,197845,316631,316303
76561198042968543,28,38,15,6,722,0,1,73447,111740,111132
76561198082565413,49,99,10,17,1670,4,1,211104,380847,330689
76561198125156253,46,56,10,9,924,1,0,140494,211692,211363
76561198020938759,115,172,29,37,3297,0,3,344209,581302,578358
76561198045029419,77,51,30,11,1563,2,0,158009,215214,204015
76561197985762779,134,133,48,26,2427,7,0,264228,423072,422098
76561198090089369,24,44,11,7,753,0,0,71279,120262,119990
76561198187099121,37,69,17,6,1314,3,0,133547,279995,211770
76561198179801531,14,35,3,8,550,1,0,72668,115111,114949
76561198046564543,18,20,10,2,269,1,0,34886,51618,51618
76561198015559512,13,13,5,1,470,1,0,36368,51618,51618
76561198122610024,19,43,0,11,632,2,0,97923,153502,152553
76561198110547487,18,74,1,3,687,2,0,116397,248997,188109
76561198209312192,27,68,8,16,1215,7,0,140671,213439,213093
76561198063722414,48,81,18,7,846,9,1,155041,269598,239271
76561198005866111,36,20,9,3,600,0,0,58711,75294,75128
76561198026321441,20,17,9,6,410,2,0,50553,75256,75115
76561197982512908,24,24,10,4,465,2,0,55917,144878,88622
